# CIDR.csv
# comments start with '#' and are optional
# this file has 2 columns: cidr,asn

# CIDR IPv4 table 560 records 
# CIDR IPv6 table 44 records 

# Embratel networks 
187.28/15,4230
187.30/16,4230
189.2/15,4230
189.16/15,4230
189.22/15,4230
189.42/15,4230
189.52/15,4230
189.86/15,4230
189.88/16,4230
200.10.159/24,4230
200.166/16,4230
200.167/16,4230
200.172/16,4230
200.174/16,4230
200.178/16,4230
200.179/16,4230
200.182/16,4230
200.183/16,4230
200.191/16,4230
200.200/16,4230
200.208/16,4230
200.209/16,4230
200.210/16,4230
200.211/16,4230
200.212/16,4230
200.213/16,4230
200.214/16,4230
200.227/16,4230
200.228/16,4230
200.230/16,4230
200.231/16,4230
200.241/16,4230
200.242/16,4230
200.243/16,4230
200.244/16,4230
200.245/16,4230
200.246/16,4230
200.247/16,4230
200.248/16,4230
200.249/16,4230
200.250/16,4230
200.251/16,4230
200.252/16,4230
200.253/16,4230
200.254/16,4230
200.255/16,4230
201.30/16,4230
201.31/16,4230
201.38/16,4230
201.39/16,4230
201.44/15,4230
201.56/15,4230
201.64/15,4230
201.72/15,4230
201.90/16,4230
2804:a8::/32,4230
200.146.128/18,27652
201.71.64/18,27652
200.155.192/18,20266
200.170.0/18,20266
200.218.32/19,20266

# Oi networks
152.232/13,7738
177.176/14,7738
177.208/14,7738
179.64/14,7738
179.68/14,7738
179.192/14,7738
179.196/14,7738
179.236/14,7738
186.240/14,7738
186.244/14,7738
187.12/14,7738
187.40/14,7738
187.76/14,7738
187.124/14,7738
189.12/15,7738
189.24/15,7738
189.48/15,7738
189.70/15,7738
189.80/14,7738
189.104/14,7738
191.0/14,7738
191.40/13,7738
191.212/14,7738
200.97/16,7738
200.141/17,7738
200.141.128/17,7738
200.149/17,7738
200.149.128/17,7738
200.151/16,7738
200.164/16,7738
200.165/16,7738
200.187.128.0/19,7738
200.195/17,7738
200.199/17,7738
200.199.128/18,7738
200.202.192/18,7738
200.216/16,7738
200.217/16,7738
200.222/16,7738
200.223/16,7738
201.4/16,7738
201.5/16,7738
201.8/16,7738
201.9/16,7738
201.18/16,7738
201.19/16,7738
201.29/16,7738
201.32/16,7738
201.50/15,7738
201.58/15,7738
201.78/15,7738
2804:d40::/28,7738

177.0/14,8167
177.4/14,8167
177.201/16,8167
177.202/15,8167
179.252/14,8167
187.4/14,8167
187.52/14,8167
189.10/15,8167
189.30/15,8167
189.72/14,8167
191.216/14,8167
191.220/14,8167
200.96/16,8167
200.101/16,8167
200.102.0/17,8167
200.102.128/17,8167
200.103/16,8167
200.138/16,8167
200.140/16,8167
200.142.64/19,8167
200.152.192/19,8167
200.160.224/19,8167
200.163/16,8167
200.169.128/17,8167
200.180/16,8167
200.181/16,8167
200.193.0/17,8167
200.193.128/17,8167
200.199.192/18,8167
200.203.0/17,8167
200.203.128/17,8167
200.215.0/17,8167
200.219.64/18,8167
200.225.64/20,8167
200.225.160/19,8167
201.2/16,8167
201.3/16,8167
201.7.0/17,8167
201.10/16,8167
201.11/16,8167
201.14/16,8167
201.15/16,8167
201.24/16,8167
201.25/16,8167
201.34/16,8167
201.35/16,8167
201.40/15,8167
201.66/15,8167
201.88/15,8167
201.175.56/22,8167
2804:d50::/28,8167

#Universo Online S.A.
186.234/16,15201
187.17.64/18,15201
187.61.0/18,15201
200.98/16,15201
200.147.0/17,15201
200.147.128/17,15201
200.221.0/18,15201
200.221.64/18,15201
200.221.128/17,15201
216.239.32.0/19,15169 
64.233.160.0/19,15169  
66.249.80.0/20,15169   
72.14.192.0/18,15169   
209.85.128.0/17,15169   
66.102.0.0/20,15169   
74.125.0.0/16,15169   
173.194.0.0/16,15169 
200.9.199/24,15256

#Global Village Telecom 
177.16/14,18881
177.40/14,18881
177.96/14,18881
177.132/14,18881
177.156/14,18881
177.204/14,18881
179.176/14,18881
179.180/14,18881
179.184/14,18881
186.212/14,18881
187.58/15,18881
187.112/14,18881
189.26/15,18881
189.58/15,18881
189.114/15,18881
191.32/14,18881
191.248/14,18881
200.139.64/18,18881
200.146.0/18,18881
200.146.64/18,18881
200.175.0/18,18881
200.175.64/18,18881
200.175.128/18,18881
200.175.192/18,18881
201.22/16,18881
201.47/16,18881
201.86/16,18881
2804:1b0::/31,18881
2804:7f0::/29,18881

64.18.0.0/20,26910 
207.126.144.0/20,26910 

177.32/14,28573
177.80/14,28573
177.140/14,28573
177.180/14,28573
177.192/14,28573
177.235/16,28573
179.105/16,28573
179.152/14,28573
179.156/14,28573
179.208/14,28573
179.212/14,28573
179.216/14,28573
179.220/14,28573
179.232/14,28573
181.213/16,28573
181.216/13,28573
186.204/14,28573
186.220/14,28573
187.2/15,28573
187.20/14,28573
187.36/14,28573
187.64/14,28573
187.104/14,28573
187.180/14,28573
187.255/16,28573,28573
189.4/14,28573
189.29/16,28573
189.32/14,28573
189.39.144/20,28573
189.54/15,28573
189.60/14,28573
189.100/14,28573
189.120/14,28573
189.126.16/20,28573
191.176/14,28573
191.180/14,28573
191.184/14,28573
191.188/14,28573
200.160.96/20,28573
200.189.80/20,28573
201.6/16,28573
201.17/16,28573
201.21/16,28573
201.37/16,28573
201.46.240/20,28573
201.52/15,28573
201.55.224/20,28573
201.62.96/19,28573
201.74/16,28573
201.75/16,28573
201.76.16/20,28573
201.76.64/19,28573
201.77.64/20,28573
201.80/14,28573
201.94.160/19,28573
2804:14c::/31,28573

187.95.192/20,53091

177.9/16,27699
177.68/16,27699
177.94/15,27699
177.102/15,27699
177.138/15,27699
177.188/15,27699
179.98/15,27699
179.110/15,27699
187.10/15,27699
187.34/15,27699
187.56/15,27699
187.74/15,27699
187.100/15,27699
189.18/15,27699
189.46/15,27699
189.68/15,27699
189.78/15,27699
189.110/15,27699
191.254/15,27699
200.100/16,27699
200.148.0/17,27699
200.153.128/17,27699
200.158.0/17,27699
200.158.128/18,27699
200.158.192/18,27699
200.161/16,27699
200.168.0/17,27699
200.168.128/19,27699
200.171.0/17,27699
200.171.128/18,27699
200.171.224/19,27699
200.204/16,27699
200.206.128/17,27699
200.207/16,27699
200.232.128/17,27699
201.0/16,27699
201.1/16,27699
201.13/16,27699
201.26/16,27699
201.27/16,27699
